# f, real(s11), imag(s11), real(s21), imag(s21), real(s22), imag(s22)
5.057983397999999653e+01 -5.912291946448933189e-03 6.987775406141552570e-03 8.266890279600352942e-01 -5.441651834317725589e-01 1.859681077691922868e-02 6.775729461830880263e-05
5.058593750000000000e+01 -5.911502170302639081e-03 6.988055232743956013e-03 8.266504936631563494e-01 -5.442222390071572713e-01 1.859729378080125783e-02 6.724387943888741545e-05
5.059204102000000347e+01 -5.910712413483940053e-03 6.988334986615572786e-03 8.266119554603676978e-01 -5.442792916527456892e-01 1.859777674054070851e-02 6.673036828420530336e-05
5.059814452999999901e+01 -5.909922677264076163e-03 6.988614667270624803e-03 8.265734134151467849e-01 -5.443363412751952568e-01 1.859825965535719106e-02 6.621676200707377752e-05
5.060424805000000248e+01 -5.909132959032399601e-03 6.988894275598199479e-03 8.265348674015262631e-01 -5.443933880615712262e-01 1.859874252684325102e-02 6.570305893576237552e-05
5.061035155999999802e+01 -5.908343261353900255e-03 6.989173810654732144e-03 8.264963175461410572e-01 -5.444504318250674713e-01 1.859922535342745098e-02 6.518926076482358181e-05
5.061645508000000149e+01 -5.907553581618228689e-03 6.989453273328734284e-03 8.264577637229972851e-01 -5.445074727527299263e-01 1.859970813670236423e-02 6.467536582197268985e-05
5.062255858999999703e+01 -5.906763922390451116e-03 6.989732662677203279e-03 8.264192060587550737e-01 -5.445645106577702288e-01 1.860019087509630353e-02 6.416137580236933730e-05
5.062866211000000050e+01 -5.905974281060238917e-03 6.990011979588491020e-03 8.263806444273940066e-01 -5.446215457272133298e-01 1.860067357020143974e-02 6.364728903317587450e-05
5.063476562000000314e+01 -5.905184660192519530e-03 6.990291223120101427e-03 8.263420789555995238e-01 -5.446785777742906287e-01 1.860115622044597461e-02 6.313310721023281807e-05
5.064086913999999950e+01 -5.904395057177429240e-03 6.990570394159956180e-03 8.263035095173262290e-01 -5.447356069860055383e-01 1.860163882742145447e-02 6.261882866003595088e-05
5.064697266000000297e+01 -5.903605473286062388e-03 6.990849492223304151e-03 8.262649361760822098e-01 -5.447926332690373741e-01 1.860212139034707335e-02 6.210445423630384446e-05
5.065307616999999851e+01 -5.902815909789534132e-03 6.991128516826192185e-03 8.262263589954012000e-01 -5.448496565300819938e-01 1.860260390844202527e-02 6.158998479340515794e-05
5.065917969000000198e+01 -5.902026364078168108e-03 6.991407468855875829e-03 8.261877778491990565e-01 -5.449066769561142776e-01 1.860308638329759290e-02 6.107541865695530203e-05
5.066528319999999752e+01 -5.901236838716704403e-03 6.991686347371253718e-03 8.261491928642227256e-01 -5.449636943604106998e-01 1.860356881334183921e-02 6.056075752446099525e-05
5.067138672000000099e+01 -5.900447331095619308e-03 6.991965153259407928e-03 8.261106039143625290e-01 -5.450207089299259344e-01 1.860405120016554725e-02 6.004599972095001070e-05
5.067749022999999653e+01 -5.899657843779652910e-03 6.992243885580146090e-03 8.260720111263915033e-01 -5.450777204779536644e-01 1.860453354219718247e-02 5.953114694457958822e-05
5.068359375000000000e+01 -5.898868374159475791e-03 6.992522545219641283e-03 8.260334143741723256e-01 -5.451347291914289128e-01 1.860501584102657036e-02 5.901619751981848627e-05
5.068969727000000347e+01 -5.898078923506244742e-03 6.992801131694724448e-03 8.259948137212577146e-01 -5.451917349770598609e-01 1.860549809587282166e-02 5.850115230151805082e-05
5.069580077999999901e+01 -5.897289493091123491e-03 6.993079644522441629e-03 8.259562092312240367e-01 -5.452487377415726755e-01 1.860598030595510266e-02 5.798601214531849332e-05
5.070190430000000248e+01 -5.896500080305046299e-03 6.993358084588771617e-03 8.259176007778959994e-01 -5.453057376718732918e-01 1.860646247286232291e-02 5.747077537472319864e-05
5.070800780999999802e+01 -5.895710687712586717e-03 6.993636450954833494e-03 8.258789884881098109e-01 -5.453627345813000238e-01 1.860694459502368336e-02 5.695544368955951162e-05
5.071411133000000149e+01 -5.894921312704894112e-03 6.993914744506245229e-03 8.258403722356636445e-01 -5.454197286567383784e-01 1.860742667402727479e-02 5.644001541273840905e-05
5.072021483999999703e+01 -5.894131957846396319e-03 6.994192964304549176e-03 8.258017521474185774e-01 -5.454767197115447663e-01 1.860790870830295041e-02 5.592449224479500297e-05
