# f, real(s11_LNA), imag(s11_LNA), C1, C2, TU, TC, TS, real(s11_ant), imag(s11_ant), Gconn, Gbalun, Gground
5.006103516000000297e+01 -8.471900000000000524e-04 2.191063000000000038e-02 5.083206299999999622e+00 -1.530565849999999894e+00 1.884418913000000089e+02 -2.048452930999999921e+01 4.554501100000000191e-01 3.415353443600818162e-01 1.072368077683880511e-01 9.995965654346232743e-01 9.962087950756439714e-01 9.962780297555806630e-01
5.006713866999999851e+01 -8.436700000000000319e-04 2.190763999999999906e-02 5.082910299999999992e+00 -1.530533759999999965e+00 1.884398920600000054e+02 -2.047576395999999832e+01 4.576099800000000273e-01 3.414673304384892027e-01 1.066849969633448247e-01 9.995966717891571207e-01 9.962122076973386475e-01 9.962788753970905908e-01
5.007324219000000198e+01 -8.401599999999999520e-04 2.190465000000000120e-02 5.082614359999999998e+00 -1.530501689999999915e+00 1.884378933700000118e+02 -2.046700312000000110e+01 4.597704100000000182e-01 3.413986097098906658e-01 1.061335732275619365e-01 9.995967765989215437e-01 9.962156146448870597e-01 9.962797206171452036e-01
5.007934569999999752e+01 -8.366600000000000295e-04 2.190165999999999988e-02 5.082318489999999578e+00 -1.530469649999999904e+00 1.884358952400000078e+02 -2.045824676999999880e+01 4.619313899999999973e-01 3.413291833701966871e-01 1.055825390796267249e-01 9.995968798661200028e-01 9.962190159132932044e-01 9.962805654133080058e-01
5.008544922000000099e+01 -8.331499999999999496e-04 2.189866999999999855e-02 5.082022689999999621e+00 -1.530437629999999993e+00 1.884338976699999932e+02 -2.044949493000000018e+01 4.640929300000000146e-01 3.412590521628823259e-01 1.050318934237477186e-01 9.995969815936378566e-01 9.962224115198597962e-01 9.962814097886791842e-01
5.009155272999999653e+01 -8.296599999999999678e-04 2.189568000000000070e-02 5.081726950000000187e+00 -1.530405639999999901e+00 1.884319006599999966e+02 -2.044074756999999920e+01 4.662550200000000200e-01 3.411882172889491027e-01 1.044816387722471707e-01 9.995970817836816735e-01 9.962258014596073741e-01 9.962822537408242418e-01
5.009765625000000000e+01 -8.261600000000000454e-04 2.189268999999999937e-02 5.081431290000000267e+00 -1.530373680000000070e+00 1.884299042000000100e+02 -2.043200471999999834e+01 4.684176700000000082e-01 3.411166794877072417e-01 1.039317740281694435e-01 9.995971804391193816e-01 9.962291857497826975e-01 9.962830972728399237e-01
5.010375977000000347e+01 -8.226699999999999551e-04 2.188970000000000152e-02 5.081135680000000043e+00 -1.530341739999999895e+00 1.884279083099999923e+02 -2.042326634999999868e+01 4.705808699999999845e-01 3.410444398462858517e-01 1.033823007976399644e-01 9.995972775623176432e-01 9.962325643909593076e-01 9.962839403836751817e-01
5.010986327999999901e+01 -8.191900000000000223e-04 2.188671000000000019e-02 5.080840150000000222e+00 -1.530309829999999982e+00 1.884259129700000130e+02 -2.041453247999999832e+01 4.727446299999999990e-01 3.409714994566357960e-01 1.028332206823684980e-01 9.995973731556567765e-01 9.962359373837367249e-01 9.962847830722800779e-01
5.011596680000000248e+01 -8.157000000000000405e-04 2.188371999999999887e-02 5.080544680000000035e+00 -1.530277939999999948e+00 1.884239181899999949e+02 -2.040580309999999997e+01 4.749089499999999964e-01 3.408978590518298435e-01 1.022845325836872765e-01 9.995974672219750667e-01 9.962393047452789974e-01 9.962856253417471386e-01
